N,n,C,Q,A,agent_answer,extracted_number,Correct
155,55,1B,Sum the exposures of the top three loans in the portfolio for me?,11503415.92,The sum of exposures for the top three loans is 11503415.92.,11503415.92,True
156,56,1B,What is the grand total exposure of the portfolio's three largest loans?,11503415.92,Grand total exposure of the portfolio's three largest loans: 11503415.92 CHF,11503415.92,True
157,57,1B,How much is the aggregated exposure of the three biggest loans in the portfolio?,11503415.92,The aggregated exposure of the three biggest loans is 11503415.92 CHF.,11503415.92,True
158,58,1B,Provide the rolled-up exposure for the top three loans in the portfolio?,11503415.92,"Top 3 loans by exposure (rolled-up exposure is the sum of these three):
1. Client ECHRUXCNYI - César Ziltener (Collateral 72XHWHWARKEJ): Exposure = 4,269,020.01 CHF, Collateral = Single-Family Home, Location = Switzerland 4937 Ursenbach
2. Client HBVVIWQIBV - Kenza Afra (Collateral 88IXNYZAZGBC): Exposure = 3,839,462.76 CHF, Collateral = Apartment, Location = Switzerland 1246 Corsier GE
3. Client CATVCCUFMF - Yosyas Meier (Collateral 75BUIJXPNONX): Exposure = 3,394,933.15 CHF, Collateral = Apartment, Location = Switzerland 5025 Asp
Total rolled-up exposure for top 3 loans = 11,503,415.92 CHF",11503415.92,True
159,59,1B,What is the total exposure figure for the portfolio's largest three loans?,11503415.92,The total exposure of the portfolio's three largest loans is 11503415.92 CHF.,11503415.92,True
160,60,1B,How much combined exposure is there across the three largest loans in the portfolio?,11503415.92,The three largest loans by exposure have a total exposure of 11503415.92 CHF.,11503415.92,True
161,61,1B,What is the overall exposure of the portfolio's top three loans?,11503415.92,"CHF 11,503,415.92",11503415.92,True
162,62,1B,Please give the total exposure covered by the three biggest loans in the portfolio?,11503415.92,"The total exposure of the three largest loans is 11,503,415.92 CHF.",11503415.92,True
163,63,1B,What do the exposures of the top three loans sum to in this portfolio?,11503415.92,11503415.92,11503415.92,True
164,64,1B,Compute the aggregate exposure for the three largest loans in the portfolio?,11503415.92,"Top 3 loans by Exposure (largest first):
1. César Ziltener (ID ECHRUXCNYI) - Exposure: 4269020.01 CHF, Loan: Mortgage Rollover, Maturity: 31.03.2026, Collateral 72XHWHWARKEJ: 4760000 CHF, Single-Family Home in Switzerland (4937 Ursenbach), Market Value: 4760000 CHF
2. Kenza Afra (ID HBVVIWQIBV) - Exposure: 3839462.76 CHF, Loan: Mortgage Rollover, Maturity: 31.05.2026, Collateral 88IXNYZAZGBC: 4105000 CHF, Apartment in Switzerland (1246 Corsier GE), Market Value: 4105000 CHF
3. Yosyas Meier (ID CATVCCUFMF) - Exposure: 3394933.15 CHF, Loan: Mortgage Rollover, Maturity: 28.02.2026, Collateral 75BUIJXPNONX: 4319000 CHF, Apartment in Switzerland (5025 Asp), Market Value: 4319000 CHF
Total aggregate exposure: 11503415.92",11503415.92,True
165,65,1B,What is the total amount of exposure for the top three loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
166,66,1B,How much exposure in total do the largest three loans comprise in the portfolio?,11503415.92,"Total exposure of the three largest loans: 11,503,415.92. Top loans by exposure: 1) ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Mortgage, Rollover, Exposure 4,269,020.01; 2) ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Mortgage, Rollover, Exposure 3,839,462.76; 3) ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Mortgage, Rollover, Exposure 3,394,933.15.",11503415.92,True
167,67,1B,What is the joint exposure of the three biggest loans in the portfolio?,11503415.92,The joint exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
168,68,1B,Provide the total of exposures for the top three loans in the portfolio?,11503415.92,The total exposure of the top three loans is 11503415.92 CHF.,11503415.92,True
169,69,1B,What is the combined exposure value of the three largest loans in the portfolio?,11503415.92,The combined exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
170,70,1B,How much is the portfolio's total exposure to its top three loans?,11503415.92,The portfolio's total exposure to its top three loans is 11503415.92 CHF.,11503415.92,True
171,71,1B,What cumulative exposure do the top three loans account for in the portfolio?,11503415.92,"The cumulative exposure of the top 3 loans is 11503415.92 CHF, which accounts for 1.25% of the portfolio (total exposure in CHF = 917325347.86).",917325347.86,False
172,72,1B,Please return the aggregate exposure across the three largest loans in the portfolio?,11503415.92,The aggregate exposure across the three largest loans is 11503415.92 CHF.,11503415.92,True
173,73,1B,What is the exposure total represented by the portfolio's three biggest loans?,11503415.92,The total exposure of the portfolio's three largest loans is 11503415.92 CHF.,11503415.92,True
174,74,1B,How much do the exposures of the largest three loans total in the portfolio?,11503415.92,"Total exposure of the largest three loans: 11,503,415.92 CHF",11503415.92,True
175,75,1B,What is the aggregate amount of exposure tied to the top three loans in the portfolio?,11503415.92,The aggregate exposure of the top three loans is 11503415.92 CHF.,11503415.92,True
176,76,1B,Provide the cumulative total exposure for the portfolio's top three loans?,11503415.92,"Total exposure of the portfolio's top three loans: 11,503,415.92 CHF",11503415.92,True
177,77,1B,What is the sum of the portfolio exposures for the three largest loans?,11503415.92,The sum of the portfolio exposures for the three largest loans is 11503415.92 CHF.,11503415.92,True
178,78,1B,How much is the total exposure covered by the top three loans in the portfolio?,11503415.92,The total exposure of the top three loans is 11503415.92 CHF.,11503415.92,True
179,79,1B,What combined exposure is associated with the three biggest loans in the portfolio?,11503415.92,"CHF 11,503,415.92",11503415.92,True
180,80,1B,Please compute the total notional of the largest three loans in the portfolio?,11503415.92,"Top 3 loans by exposure:
311. Client César Ziltener (ID ECHRUXCNYI): Exposure 4,269,020.01 CHF, LoanClass Mortgage, Type Rollover, Collateral 72XHWHWARKEJ
382. Client Kenza Afra (ID HBVVIWQIBV): Exposure 3,839,462.76 CHF, LoanClass Mortgage, Type Rollover, Collateral 88IXNYZAZGBC
785. Client Yosyas Meier (ID CATVCCUFMF): Exposure 3,394,933.15 CHF, LoanClass Mortgage, Type Rollover, Collateral 75BUIJXPNONX

The total notional of the three largest loans is 11,503,416 CHF.",11503416.0,True
181,81,1B,What is the total exposure across the portfolio's three largest credit facilities?,11503415.92,"The total exposure across the portfolio's three largest credit facilities is 11,503,415.92 CHF.",11503415.92,True
182,82,1B,How much combined exposure do our portfolio's top three loans represent?,11503415.92,The combined exposure of the portfolio's top three loans is 11503415.92 CHF.,11503415.92,True
183,83,1B,What is the aggregate exposure number for the three biggest loans in the portfolio?,11503415.92,"The aggregate exposure for the three largest loans is 11,503,415.92 CHF.",11503415.92,True
184,84,1B,Provide the total exposure amount for the portfolio's top three loans?,11503415.92,"11,503,415.92 CHF",11503415.92,True
185,85,1B,What is the cumulativ exposure value of the three largest loans in the portfolio?,11503415.92,The cumulative exposure value of the three largest loans in the portfolio is 11503415.92 CHF.,11503415.92,True
186,86,1B,How much exposure in total is concentrated in the portfolio's three biggest loans?,11503415.92,"The total exposure of the portfolio's three largest loans is 11503415.92 CHF.

Top 3 loans details:
  ClientID FirstName LastName CollateralID   Exposure ExposureCCY LoanClass     Type   Maturity  PropertyMarketValue       PropertyType PropertyAddressCountry PropertyAddressPostalCodeCity
ECHRUXCNYI     César Ziltener 72XHWHWARKEJ 4269020.01         CHF  Mortgage Rollover 31.03.2026              4760000 Single-Family Home            Switzerland                4937 Ursenbach
HBVVIWQIBV     Kenza     Afra 88IXNYZAZGBC 3839462.76         CHF  Mortgage Rollover 31.05.2026              4105000          Apartment            Switzerland               1246 Corsier GE
CATVCCUFMF    Yosyas    Meier 75BUIJXPNONX 3394933.15         CHF  Mortgage Rollover 28.02.2026              4319000          Apartment            Switzerland                      5025 Asp",11503415.92,True
187,87,1B,What is the total exposure of the three largest loan exposures in the portfolio?,11503415.92,Total exposure of the three largest loan exposures: 11503415.92 CHF,11503415.92,True
188,88,1B,Please provide the combined exposure figure for the top three loans in the portfolio?,11503415.92,Combined exposure of the top three loans: 11503415.92 CHF,11503415.92,True
189,89,1B,What do the three largest loans amount to in total exposure for ortfolio?,11503415.92,"Top 3 loans by exposure (descending):
Rank 1: LoanClass=Mortgage, Type=Rollover, Exposure=4269020.01CHF, ClientID=ECHRUXCNYI, CollateralID=72XHWHWARKEJ
Rank 2: LoanClass=Mortgage, Type=Rollover, Exposure=3839462.76CHF, ClientID=HBVVIWQIBV, CollateralID=88IXNYZAZGBC
Rank 3: LoanClass=Mortgage, Type=Rollover, Exposure=3394933.15CHF, ClientID=CATVCCUFMF, CollateralID=75BUIJXPNONX

Total exposure of the top 3 loans: 11503415.92
Exposure by currency among top 3: 11503415.92 CHF",11503415.92,True
190,90,1B,How much is the sum total of exposures for the top three loans in the portfolio?,11503415.92,11503415.92,11503415.92,True
191,91,1B,What is the rolled-up exposure of the portfolio's three largest loans?,11503415.92,Rolled-up exposure of the portfolio's three largest loans: 11503415.92 CHF,11503415.92,True
192,92,1B,Provide the joint exposure across the three biggest loans in the portfolio?,11503415.92,"Total joint exposure across the three biggest loans: 11,503,415.92 CHF",11503415.92,True
193,93,1B,What is the total exposure that the top three loans contribute to the portfolio?,11503415.92,"Top three loans contribute 11503415.92 to the portfolio, which is about 1.25% of the total exposure (917325347.86).",917325347.86,False
194,94,1B,How much aggregate exposure is held in the portfolio's three largest loans?,11503415.92,"The aggregate exposure of the portfolio's three largest loans is 11,503,415.92 CHF.",11503415.92,True
195,95,1B,What the portfolio's total exposure to its three largest loans?,11503415.92,The portfolio's total exposure to its three largest loans is 11503415.92 CHF.,11503415.92,True
196,96,1B,Please share the cumulative exposure for the three biggest loans in the portfolio?,11503415.92,11503415.92 CHF,11503415.92,True
197,97,1B,What is the sum exposure amount for the portfolio's top three loans?,11503415.92,11503415.92,11503415.92,True
198,98,1B,How much combined exposure is attributable to the three largest loans in the portfolio?,11503415.92,The combined exposure of the three largest loans is 11503415.92 CHF.,11503415.92,True
199,99,1B,What is the all-in exposure of the portfolio's three largest loans?,11503415.92,"Top 3 loans by all-in exposure (All-in Exposure shown in the loan's ExposureCCY):
- Client: Kenza Afra (ID HBVVIWQIBV), Collateral: 88IXNYZAZGBC, Loan: Mortgage - Rollover, Exposure: 3839462.76 CHF, LGD: 0.33, All-in Exposure: 5106485.47 CHF
  Collateral value: 4105000.00 CHF, Country: Switzerland, Maturity: 31.05.2026
- Client: César Ziltener (ID ECHRUXCNYI), Collateral: 72XHWHWARKEJ, Loan: Mortgage - Rollover, Exposure: 4269020.01 CHF, LGD: 0.16, All-in Exposure: 4952063.21 CHF
  Collateral value: 4760000.00 CHF, Country: Switzerland, Maturity: 31.03.2026
- Client: Lis Sorrentino (ID KVNLJRMKDR), Collateral: 73DWBKWSSTWD, Loan: Mortgage - Rollover, Exposure: 3214071.84 CHF, LGD: 0.29, All-in Exposure: 4146152.67 CHF
  Collateral value: 3596000.00 CHF, Country: Switzerland, Maturity: 30.11.2025
Total all-in exposure of top 3: 14204701.36 CHF",14204701.36,True
200,100,1B,Give the total exposure number for the top three loans in the portfolio?,11503415.92,Total exposure for top 3 loans: 11503415.92 CHF.,11503415.92,True
201,1,1C,Quelle est l�exposition totale des trois plus gros pr�ts du portefeuille ?,11503415.92,Total exposure des trois plus gros prêts du portefeuille: 11503415.92 CHF,11503415.92,True
202,2,1C,Quel est le total d�exposition des trois principaux pr�ts du portefeuille ?,11503415.92,"Le total d'exposition des trois principaux prêts du portefeuille est 11 503 415,92.",11 503 415.92,True
203,3,1C,Donnez l�exposition agr�g�e des trois plus grands pr�ts du portefeuille.,11503415.92,"Exposition agrégée des trois plus grands prêts du portefeuille: 11503415.92
Détails par devise: 11503415.92 CHF
Détails des trois prêts les plus exposés (pour référence):
- Client: César Ziltener, Prêt: Mortgage, Devise: CHF, Exposition: 4269020.01, Pays: Switzerland
- Client: Kenza Afra, Prêt: Mortgage, Devise: CHF, Exposition: 3839462.76, Pays: Switzerland
- Client: Yosyas Meier, Prêt: Mortgage, Devise: CHF, Exposition: 3394933.15, Pays: Switzerland
",11503415.92,True
204,4,1C,Quelle est l�exposition cumul�e des trois plus gros cr�dits du portefeuille ?,11503415.92,L'exposition cumulée des trois plus gros crédits du portefeuille est de 11503415.92 CHF.,11503415.92,True
205,5,1C,Combien repr�sente en tout l�exposition des trois plus grands pr�ts du portefeuille ?,11503415.92,Le total de l'exposition des trois plus grands prêts du portefeuille est 11503415.92.,11503415.92,True
206,6,1C,Quel est le montant total d�exposition pour les trois plus gros pr�ts du portefeuille ?,11503415.92,Le montant total d'exposition des trois plus gros prêts du portefeuille est: 11503415.92,11503415.92,True
207,7,1C,Quelle est la somme des expositions des trois plus grands pr�ts du portefeuille ?,11503415.92,"La somme des expositions des trois plus grands prêts du portefeuille est de 11 503 415,92.",11 503 415.92,True
208,8,1C,Indiquez l�exposition globale des trois principaux pr�ts du portefeuille.,11503415.92,L'exposition globale des trois prêts les plus importants est de 11503415.92 CHF.,11503415.92,True
209,9,1C,Quelle est l�exposition combin�e des trois plus gros pr�ts du portefeuille ?,11503415.92,"L'exposition combinée des trois plus gros prêts est de 11,503,416 CHF.",11503416.0,True
210,10,1C,Quel est l�engagement total li� aux trois plus grands pr�ts du portefeuille ?,11503415.92,"Exposition totale des 3 plus grands prêts: 11,503,415.92 CHF

Détails des 3 prêts les plus importants :
- Client: César Ziltener (ClientID ECHRUXCNYI), Collateral: 72XHWHWARKEJ, LoanClass: Mortgage, Type: Rollover, Exposure: 4,269,020.01 CHF, Maturity: 31.03.2026, Collateral Type: Single-Family Home, Location: Switzerland
- Client: Kenza Afra (ClientID HBVVIWQIBV), Collateral: 88IXNYZAZGBC, LoanClass: Mortgage, Type: Rollover, Exposure: 3,839,462.76 CHF, Maturity: 31.05.2026, Collateral Type: Apartment, Location: Switzerland
- Client: Yosyas Meier (ClientID CATVCCUFMF), Collateral: 75BUIJXPNONX, LoanClass: Mortgage, Type: Rollover, Exposure: 3,394,933.15 CHF, Maturity: 28.02.2026, Collateral Type: Apartment, Location: Switzerland",11503415.92,True
211,11,1C,Donnez la valeur totale d�exposition des trois plus gros cr�dits du portefeuille.,11503415.92,"La valeur totale d'exposition des trois plus gros crédits du portefeuille est de 11 503 415,92.",11 503 415.92,True
212,12,1C,Quel est le total des expositions pour les trois pr�ts les plus importants du portefeuille ?,11503415.92,"Le total des expositions des trois prêts les plus importants est 11,503,415.92.",11503415.92,True
213,13,1C,Quelle est l�exposition all-in des trois plus grands pr�ts du portefeuille ?,11503415.92,"Top 3 des prêts par exposition (Exposure):\n311. Client: César Ziltener | Exposition = 4269020.01 CHF, LoanClass=Mortgage, Type=Rollover, Maturity=31.03.2026, Collateral=, Country=\n382. Client: Kenza Afra | Exposition = 3839462.76 CHF, LoanClass=Mortgage, Type=Rollover, Maturity=31.05.2026, Collateral=, Country=\n785. Client: Yosyas Meier | Exposition = 3394933.15 CHF, LoanClass=Mortgage, Type=Rollover, Maturity=28.02.2026, Collateral=, Country=\n\nTotal all-in exposure des 3 plus grands prêts: 11503415.92 CHF",11503415.92,True
214,14,1C,Quelle est l�exposition conjointe des trois plus gros pr�ts du portefeuille ?,11503415.92,"Les trois prêts les plus importants par exposition:
- Client: César Ziltener, LoanClass: Mortgage, Type: Rollover, CollateralID: 72XHWHWARKEJ, Exposure: 4269020.01 CHF
- Client: Kenza Afra, LoanClass: Mortgage, Type: Rollover, CollateralID: 88IXNYZAZGBC, Exposure: 3839462.76 CHF
- Client: Yosyas Meier, LoanClass: Mortgage, Type: Rollover, CollateralID: 75BUIJXPNONX, Exposure: 3394933.15 CHF

Exposition conjointe par devise:
CHF: 11503415.92",11503415.92,True
215,15,1C,Calculez l�exposition cumul�e des trois plus grands pr�ts du portefeuille.,11503415.92,"Exposition cumulée des trois plus grands prêts du portefeuille: 11503415.92 CHF.
Détails des trois prêts:
- Client César Ziltener (ID ECHRUXCNYI), Prêt 72XHWHWARKEJ | Exposition: 4269020.01 CHF, Classe: Mortgage, Type: Rollover, Maturité: 31.03.2026, Bien: Single-Family Home en Switzerland, 4937 Ursenbach
- Client Kenza Afra (ID HBVVIWQIBV), Prêt 88IXNYZAZGBC | Exposition: 3839462.76 CHF, Classe: Mortgage, Type: Rollover, Maturité: 31.05.2026, Bien: Apartment en Switzerland, 1246 Corsier GE
- Client Yosyas Meier (ID CATVCCUFMF), Prêt 75BUIJXPNONX | Exposition: 3394933.15 CHF, Classe: Mortgage, Type: Rollover, Maturité: 28.02.2026, Bien: Apartment en Switzerland, 5025 Asp",11503415.92,True
216,16,1C,Quel est le total agr�g� d�exposition des trois plus gros pr�ts du portefeuille ?,11503415.92,Le total agrégé des expositions des trois plus gros prêts du portefeuille est de 11503415 CHF.,11503415.0,True
217,17,1C,Quelle est l�exposition totale port�e par les trois plus grands pr�ts du portefeuille ?,11503415.92,Exposition totale des trois plus grands prêts: 11503415.92 CHF.,11503415.92,True
218,18,1C,� combien s��l�ve l�exposition globale des trois plus gros pr�ts du portefeuille ?,11503415.92,L'exposition globale des trois plus gros prêts est de 11503415.92 CHF.,11503415.92,True
219,19,1C,Quelle est la somme totale d�exposition des trois principaux pr�ts du portefeuille ?,11503415.92,La somme totale des expositions des trois principaux prêts du portefeuille est 11503415.92.,11503415.92,True
220,20,1C,Donnez le total d�exposition des trois plus gros pr�ts du portefeuille.,11503415.92,Total d'exposition des trois plus gros prêts: 11503415.92 CHF,11503415.92,True
221,21,1C,Quelle est l�exposition consolid�e des trois plus grands pr�ts du portefeuille ?,11503415.92,"Exposition consolidée des trois plus grands prêts: 11,503,415.92 CHF",11503415.92,True
222,22,1C,Quel est le risque total (exposition) des trois plus gros pr�ts du portefeuille ?,11503415.92,"Le risque total des trois plus gros prêts du portefeuille est de 11 503 415,92 CHF.",11 503 415.92,True
223,23,1C,Quelle est l�exposition totale attribuable aux trois plus grands pr�ts du portefeuille ?,11503415.92,L'exposition totale attribuable aux trois plus grands prêts du portefeuille est de 11503415.92 CHF.,11503415.92,True
224,24,1C,Quel est le montant cumul� d�exposition des trois pr�ts les plus importants ?,11503415.92,Le montant cumulé d'exposition des trois prêts les plus importants est de 11503415.92 CHF.,11503415.92,True
225,25,1C,Quelle est l�exposition agr�g�e pour les trois plus gros pr�ts du portefeuille ?,11503415.92,"Top 3 prêts par exposition (Exposure):
ClientID ECHRUXCNYI, CollateralID 72XHWHWARKEJ, Exposure 4269020.01 CHF, Maturity 31.03.2026
ClientID HBVVIWQIBV, CollateralID 88IXNYZAZGBC, Exposure 3839462.76 CHF, Maturity 31.05.2026
ClientID CATVCCUFMF, CollateralID 75BUIJXPNONX, Exposure 3394933.15 CHF, Maturity 28.02.2026

Exposition totale des trois plus gros prêts: 11503415.92

Détails par devise parmi les trois plus gros prêts:
 - CHF: 11503415.92",11503415.92,True
226,26,1C,Indiquez la somme des expositions des trois principaux crédits du portefeuille.,11503415.92,"La somme des expositions des trois principaux crédits est 11 503 415,92 CHF.",11 503 415.92,True
227,27,1C,Quel est le total des engagements de cr�dit des trois plus grands pr�ts du portefeuille ?,11503415.92,Le total des engagements des trois plus grands prêts est 11503415.92 CHF.,11503415.92,True
228,28,1C,Donnez l�exposition totale des trois pr�ts � plus forte exposition du portefeuille.,11503415.92,L'exposition totale des trois prêts les plus exposés est 11503415.92 CHF.,11503415.92,True
229,29,1C,Quelle est l�exposition globale associ�e aux trois plus gros pr�ts du portefeuille ?,11503415.92,L'exposition globale des trois plus gros prêts du portefeuille est de 11503415.92 CHF.,11503415.92,True
230,30,1C,Combien totalisent les expositions des trois plus grands pr�ts du portefeuille ?,11503415.92,Les expositions des trois plus grands prêts totalisent 11503415.92.,11503415.92,True
231,31,1C,Quel est l�encours d�exposition total des trois plus gros pr�ts du portefeuille ?,11503415.92,Le total des expositions des trois plus gros prêts est 11503415.92 CHF.,11503415.92,True
232,32,1C,Quelle est l�exposition cumul�e des trois plus grandes facilit�s de cr�dit du portefeuille ?,11503415.92,Exposition cumulée des trois plus grandes facilités de crédit du portefeuille: 11503415.92 CHF.,11503415.92,True
233,33,1C,Donnez le montant total d�exposition des trois meilleurs pr�ts du portefeuille.,11503415.92,"Le montant total d'exposition des trois meilleurs prêts du portefeuille est de 11 503 415,92 CHF.",11 503 415.92,True
234,34,1C,Quel est le total d�exposition des trois plus grosses positions de pr�t du portefeuille ?,11503415.92,Le total d'exposition des trois plus grosses positions de prêt du portefeuille est 11503415.92 CHF.,11503415.92,True
235,35,1C,Wie hoch ist die Gesamtexponierung der drei gr��ten Kredite im Portfolio?,11503415.92,Die Gesamtexponierung der drei größten Kredite beträgt 11503415.92.,11503415.92,True
236,36,1C,Was ist das gesamte Exposure der drei gr��ten Kredite im Portfolio?,11503415.92,Der gesamte Exposure der drei größten Kredite im Portfolio beträgt 11503415.92.,11503415.92,True
237,37,1C,Bitte nennen Sie die aggregierte Exponierung der drei gr��ten Kredite im Portfolio.,11503415.92,"Die aggregierte Exponierung der drei größten Kredite beträgt 11.503.415,92 CHF.",11.503415.92,True
238,38,1C,Wie hoch ist die kumulierte Exponierung der drei gr��ten Kreditpositionen im Portfolio?,11503415.92,Die kumulative Exponierung der drei größten Kreditpositionen beträgt 11503415.92 CHF.,11503415.92,True
239,39,1C,Wieviel betr�gt die Summe der Exposures der drei gr��ten Kredite im Portfolio?,11503415.92,Die Summe der Exposures der drei größten Kredite im Portfolio beträgt 11503415.92.,11503415.92,True
240,40,1C,Was ist das Gesamtengagement der drei gr��ten Kredite im Portfolio?,11503415.92,Der Gesamtbetrag der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
241,41,1C,Geben Sie das kombinierte Exposure der drei gr��ten Kredite im Portfolio an.,11503415.92,Das kombinierte Exposure der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
242,42,1C,Wie hoch ist das aggregierte Exposure der drei Top-Kredite im Portfolio?,11503415.92,"Aggregierte Exposure der drei Top-Kredite beträgt 11.503.415,92 CHF.",11.503415.92,True
243,43,1C,Was ist die Gesamt-Exposure der drei wichtigsten Kredite im Portfolio?,11503415.92,Die Gesamt-Exposure der drei wichtigsten Kredite beträgt 11503415.92 CHF.,11503415.92,True
244,44,1C,Wie hoch ist die kumulierte Gesamtbelastung (Exposure) der drei gr��ten Kredite?,11503415.92,Die kumulierte Gesamtbelastung der drei größten Kredite beträgt 11503415.92.,11503415.92,True
245,45,1C,Nennen Sie die Summe des Kredit-Exposures der drei gr��ten Kredite im Portfolio.,11503415.92,Die Summe der Kredit-Exposures der drei größten Kredite im Portfolio beträgt 11503415.92.,11503415.92,True
246,46,1C,Wie gro� ist das Exposure der drei gr��ten Kreditfazilit�ten insgesamt?,11503415.92,Die drei größten Kreditfazilitäten haben insgesamt 11503415.92 CHF.,11503415.92,True
247,47,1C,Was ist die Gesamt-Exponierung der drei gr��ten Kreditengagements im Portfolio?,11503415.92,"Die drei größten Kreditengagements im Portfolio (nach Exposure sortiert):
- Ziltener, César | LoanType: Rollover | Exposure: 4269020.01 CHF | Collateral: 72XHWHWARKEJ (Single-Family Home)
- Afra, Kenza | LoanType: Rollover | Exposure: 3839462.76 CHF | Collateral: 88IXNYZAZGBC (Apartment)
- Meier, Yosyas | LoanType: Rollover | Exposure: 3394933.15 CHF | Collateral: 75BUIJXPNONX (Apartment)

Gesamt-Exponierung nach Währung (Top 3):
- 11503415.92 CHF",11503415.92,True
248,48,1C,Wie hoch ist das gemeinsame Exposure der drei gr��ten Kredite im Portfolio?,11503415.92,Der gemeinsame Exposure der drei größten Kredite beträgt 5.8e+06 USD.,6.0,False
249,49,1C,Bitte berechnen Sie die gesamte Exponierung der drei gr��ten Kredite des Portfolios.,11503415.92,Die drei größten Kredite nach Exposure haben zusammen eine Gesamtexponierung von 11503415.92 CHF.,11503415.92,True
250,50,1C,Was ist die aggregierte Gesamt-Exposure der drei gr��ten Kreditpositionen?,11503415.92,Aggregierte Gesamt-Exposure der drei größten Kreditpositionen beträgt 11503415.92 (11503415.92 CHF).,11503415.92,True
251,51,1C,Wie hoch ist das kumulierte Exposure der drei gr��ten Kredite im Bestand?,11503415.92,Das kumulierte Exposure der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
252,52,1C,Wie viel kombiniertes Exposure tragen die drei gr��ten Kredite im Portfolio?,11503415.92,Die drei größten Kredite tragen gemeinsam 11503415.92 CHF Exposure.,11503415.92,True
253,53,1C,Was ist die Summe der Exponierungen der drei gr��ten Kredite im Portfolio?,11503415.92,Die Summe der Exponierungen der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
254,54,1C,Geben Sie die gesamte Exposure-Zahl f�r die drei gr��ten Kredite im Portfolio an.,11503415.92,11503415.92,11503415.92,True
255,55,1C,Wie hoch ist das Gesamtvolumen des Exposures der drei gr��ten Kredite?,11503415.92,Das Gesamtvolumen des Exposures der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
256,56,1C,"Was ist das Gesamt-Exposure, das auf die drei gr��ten Kredite entf�llt?",11503415.92,Gesamt-Exposure der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
257,57,1C,Wie hoch ist die Gesamtbelastung durch die drei gr��ten Kredite im Portfolio?,11503415.92,"Die drei größten Kredite nach Exposure im Portfolio:
- Exposure: 4269020.01 CHF, LoanClass=Mortgage, Type=Rollover, ClientID=ECHRUXCNYI, CollateralID=72XHWHWARKEJ
- Exposure: 3839462.76 CHF, LoanClass=Mortgage, Type=Rollover, ClientID=HBVVIWQIBV, CollateralID=88IXNYZAZGBC
- Exposure: 3394933.15 CHF, LoanClass=Mortgage, Type=Rollover, ClientID=CATVCCUFMF, CollateralID=75BUIJXPNONX

Gesamtbelastung je Währung der Top-3 Kredite: 11503415.92 CHF
Gesamtbelastung der Top-3 Kredite: 11503415.92 CHF",11503415.92,True
258,58,1C,Nennen Sie die konsolidierte Exponierung der drei gr��ten Kredite.,11503415.92,"Die konsolidierte Exponierung der drei größten Kredite beträgt CHF 11.503.415,92.",11.503415.92,True
259,59,1C,Was ist die Gesamt-Exposure der drei gr��ten Kreditfazilit�ten im Portfolio?,11503415.92,Die Gesamt-Exposure der drei größten Kreditfazilitaten beträgt 11503415.92 CHF.,11503415.92,True
260,60,1C,Wie viel Exposure in Summe entf�llt auf die drei gr��ten Kredite?,11503415.92,Die Summe des Exposures der drei größten Kredite beträgt 11503415.92 CHF.,11503415.92,True
261,61,1C,Was ist das all-in Exposure der drei gr��ten Kredite im Portfolio?,11503415.92,"Die drei größten Kredite nach Exposure (All-in Exposure = Exposure * (1 + LGD)):
1) ClientID: ECHRUXCNYI, CollateralID: 72XHWHWARKEJ, Exposure: 4269020.01 CHF, LGD: 0.16, All-in Exposure: 4952063.21 CHF
2) ClientID: HBVVIWQIBV, CollateralID: 88IXNYZAZGBC, Exposure: 3839462.76 CHF, LGD: 0.33, All-in Exposure: 5106485.47 CHF
3) ClientID: CATVCCUFMF, CollateralID: 75BUIJXPNONX, Exposure: 3394933.15 CHF, LGD: 0.22, All-in Exposure: 4141818.44 CHF
Gesamt-All-in-Exposure (Top 3): 14200367.13 CHF",14200367.13,False
262,62,1C,Wie hoch ist die aggregierte Exponierung der Top-3-Kredite im Portfolio?,11503415.92,"Top-3-Kredite nach Exponierung:
1. Kunde: César Ziltener, Kredittyp: Mortgage Rollover, CollateralID: 72XHWHWARKEJ, Exponierung: 4269020.01 CHF
2. Kunde: Kenza Afra, Kredittyp: Mortgage Rollover, CollateralID: 88IXNYZAZGBC, Exponierung: 3839462.76 CHF
3. Kunde: Yosyas Meier, Kredittyp: Mortgage Rollover, CollateralID: 75BUIJXPNONX, Exponierung: 3394933.15 CHF
Aggregierte Exponierung der Top-3-Kredite: 11503415.92 CHF",11503415.92,True
263,63,1C,Bitte geben Sie die kumulierte Exponierung der drei gr��ten Kreditpositionen an.,11503415.92,Die kumulierte Exponierung der drei größten Kreditpositionen beträgt 11503415 CHF.,11503415.0,True
